,Date,FTSE,NASDAQ,HANG,SP500,DAX
81,30/08/2022,7361.63,11883.14,19949.03,3986.16,12961.14
82,26/08/2022,7427.31,12141.71,20170.04,4057.66,12971.47
83,25/08/2022,7479.74,12639.26,19968.38,4199.12,13271.96
84,24/08/2022,7471.51,12431.53,19268.74,4140.77,13220.06
85,23/08/2022,7488.11,12381.3,19503.25,4128.73,13194.23
86,22/08/2022,7533.79,12381.57,19656.98,4137.99,13230.57
87,19/08/2022,7550.37,12705.21,19773.03,4228.48,13544.52
88,18/08/2022,7541.85,12965.34,19763.91,4283.74,13697.41
89,17/08/2022,7515.75,12938.12,19922.45,4274.04,13626.71
90,16/08/2022,7536.06,13102.55,19830.52,4305.2,13910.12
91,15/08/2022,7509.15,13128.05,20040.86,4297.14,13816.61
92,12/08/2022,7500.89,13047.19,20175.62,4280.15,13795.85
93,11/08/2022,7465.91,12779.91,20082.43,4207.27,13694.51
94,10/08/2022,7507.11,12854.8,19610.84,4210.24,13700.93
95,09/08/2022,7488.15,12493.93,20003.44,4122.47,13534.97
96,08/08/2022,7482.37,12644.46,20045.77,4140.06,13687.69
97,05/08/2022,7439.74,12657.55,20201.94,4145.19,13573.93
98,04/08/2022,7448.06,12720.58,20174.04,4151.94,13662.68
99,03/08/2022,7445.68,12668.16,19767.09,4155.17,13587.56
100,02/08/2022,7409.11,12348.76,19689.21,4091.19,13449.2
101,01/08/2022,7413.42,12368.98,20165.84,4118.63,13479.63
102,29/07/2022,7423.43,12390.69,20156.51,4130.29,13484.05
103,28/07/2022,7345.25,12162.59,20622.68,4072.43,13282.11
104,27/07/2022,7348.23,12032.42,20670.04,4023.61,13166.38
105,26/07/2022,7306.28,11562.58,20905.88,3921.05,13096.93
106,25/07/2022,7306.3,11782.67,20562.94,3966.84,13210.32
107,22/07/2022,7276.37,11834.11,20609.14,3961.63,13253.68
108,21/07/2022,7270.51,12059.61,20574.63,3998.95,13246.64
109,20/07/2022,7264.31,11897.65,20890.22,3959.9,13281.98
110,19/07/2022,7296.28,11713.15,20661.06,3936.69,13308.41
111,18/07/2022,7223.24,11360.05,20846.18,3830.85,12959.81
112,15/07/2022,7159.01,11452.42,20297.72,3863.16,12864.72
113,14/07/2022,7039.81,11251.18,20751.21,3790.38,12519.66
114,13/07/2022,7156.37,11247.58,20797.95,3801.78,12756.32
115,12/07/2022,7209.86,11264.73,20844.74,3818.8,12905.48
116,11/07/2022,7196.59,11372.6,21124.2,3854.43,12832.44
117,08/07/2022,7196.24,11635.31,21725.78,3899.38,13015.23
118,07/07/2022,7189.08,11621.35,21643.58,3902.62,12843.22
119,06/07/2022,7107.77,11361.85,21586.66,3845.08,12594.52
120,05/07/2022,7025.47,11322.24,21853.07,3831.39,12401.2
121,30/06/2022,7169.28,11028.74,21859.79,3785.38,12783.77
122,29/06/2022,7312.32,11177.89,21996.89,3818.83,13003.35
123,28/06/2022,7323.41,11181.54,22418.97,3821.55,13231.82
124,27/06/2022,7258.32,11524.55,22229.52,3900.11,13186.07
125,24/06/2022,7208.81,11607.62,21719.06,3911.74,13118.13
126,23/06/2022,7020.45,11232.19,21273.87,3795.73,12912.59
127,22/06/2022,7089.22,11053.08,21008.34,3759.89,13144.28
128,21/06/2022,7152.05,11069.3,21559.59,3764.79,13292.4
129,17/06/2022,7016.25,10798.35,21075.0,3674.84,13126.26
