"Date","Price","Open","High","Low","Vol.","Change %"
"31/12/2020","6,460.52","6,555.82","6,555.82","6,439.41","316.94M","-1.45%"
"30/12/2020","6,555.82","6,602.65","6,622.98","6,552.46","425.49M","-0.71%"
"29/12/2020","6,602.65","6,502.11","6,676.60","6,502.11","823.98M","1.55%"
"24/12/2020","6,502.11","6,495.75","6,530.28","6,479.59","477.47M","0.10%"
"23/12/2020","6,495.75","6,453.16","6,497.28","6,431.21","781.64M","0.66%"
"22/12/2020","6,453.16","6,416.32","6,457.47","6,382.61","613.67M","0.57%"
"21/12/2020","6,416.32","6,529.18","6,529.18","6,315.34","1.11B","-1.73%"
"18/12/2020","6,529.18","6,551.06","6,604.54","6,518.25","1.20B","-0.33%"
"17/12/2020","6,551.06","6,570.91","6,601.63","6,551.06","725.53M","-0.30%"
"16/12/2020","6,570.91","6,513.32","6,598.42","6,513.32","860.33M","0.88%"
"15/12/2020","6,513.32","6,531.83","6,558.24","6,484.04","737.40M","-0.28%"
"14/12/2020","6,531.83","6,546.75","6,583.70","6,524.70","870.27M","-0.23%"
"11/12/2020","6,546.75","6,599.76","6,607.44","6,520.54","1.07B","-0.80%"
"10/12/2020","6,599.76","6,564.29","6,640.74","6,561.11","1.11B","0.54%"
"09/12/2020","6,564.29","6,558.82","6,623.03","6,558.82","769.12M","0.08%"
"08/12/2020","6,558.82","6,555.39","6,567.59","6,518.37","757.85M","0.05%"
"07/12/2020","6,555.39","6,550.23","6,601.11","6,519.82","1.05B","0.08%"
"04/12/2020","6,550.23","6,490.27","6,559.18","6,489.75","1.07B","0.92%"
"03/12/2020","6,490.27","6,463.39","6,491.49","6,430.27","943.21M","0.42%"
"02/12/2020","6,463.39","6,384.73","6,468.64","6,367.51","936.84M","1.23%"
"01/12/2020","6,384.73","6,266.19","6,400.24","6,263.60","839.85M","1.89%"
"30/11/2020","6,266.19","6,367.58","6,404.02","6,266.19","1.36B","-1.59%"
"27/11/2020","6,367.58","6,362.93","6,375.91","6,302.22","1.44B","0.07%"
"26/11/2020","6,362.93","6,391.09","6,412.65","6,349.53","735.75M","-0.44%"
"25/11/2020","6,391.09","6,432.17","6,468.73","6,375.25","1.13B","-0.64%"
"24/11/2020","6,432.17","6,333.84","6,432.42","6,333.72","1.30B","1.55%"
"23/11/2020","6,333.84","6,351.45","6,392.08","6,325.24","943.54M","-0.28%"
"20/11/2020","6,351.45","6,334.35","6,386.70","6,324.60","821.11M","0.27%"
"19/11/2020","6,334.35","6,385.24","6,385.24","6,314.26","919.87M","-0.80%"
"18/11/2020","6,385.24","6,365.33","6,395.91","6,326.74","979.74M","0.31%"
"17/11/2020","6,365.33","6,421.29","6,424.53","6,308.99","1.23B","-0.87%"
"16/11/2020","6,421.29","6,316.39","6,463.51","6,316.39","1.29B","1.66%"
"13/11/2020","6,316.39","6,338.94","6,338.97","6,280.40","960.71M","-0.36%"
"12/11/2020","6,338.94","6,382.10","6,382.10","6,295.79","1.01B","-0.68%"
"11/11/2020","6,382.10","6,296.85","6,397.28","6,293.21","1.28B","1.35%"
"10/11/2020","6,296.85","6,186.29","6,307.00","6,180.47","1.71B","1.79%"
"09/11/2020","6,186.29","5,910.02","6,258.31","5,910.02","2.07B","4.67%"
"06/11/2020","5,910.02","5,906.18","5,950.22","5,858.48","848.48M","0.07%"
"05/11/2020","5,906.18","5,883.26","5,933.05","5,881.87","900.00M","0.39%"
"04/11/2020","5,883.26","5,786.77","5,885.67","5,711.21","781.52M","1.67%"
"03/11/2020","5,786.77","5,654.97","5,787.61","5,654.97","803.79M","2.33%"
"02/11/2020","5,654.97","5,577.27","5,665.30","5,554.73","755.07M","1.39%"
"30/10/2020","5,577.27","5,581.75","5,593.40","5,534.08","823.61M","-0.08%"
"29/10/2020","5,581.75","5,582.80","5,616.58","5,534.66","964.96M","-0.02%"
"28/10/2020","5,582.80","5,728.99","5,728.99","5,525.52","1.11B","-2.55%"
"27/10/2020","5,728.99","5,792.01","5,806.23","5,728.18","756.73M","-1.09%"
"26/10/2020","5,792.01","5,860.28","5,868.36","5,782.37","870.05M","-1.16%"
"23/10/2020","5,860.28","5,785.65","5,885.38","5,781.78","852.80M","1.29%"
"22/10/2020","5,785.65","5,776.50","5,796.44","5,716.40","664.92M","0.16%"
"21/10/2020","5,776.50","5,889.22","5,903.38","5,769.62","632.35M","-1.91%"
"20/10/2020","5,889.22","5,884.65","5,915.47","5,861.81","576.52M","0.08%"
"19/10/2020","5,884.65","5,919.58","5,959.67","5,871.95","522.72M","-0.59%"
"16/10/2020","5,919.58","5,832.52","5,933.81","5,832.52","669.81M","1.49%"
"15/10/2020","5,832.52","5,935.06","5,935.06","5,786.20","665.02M","-1.73%"
"14/10/2020","5,935.06","5,969.71","6,009.81","5,926.49","612.91M","-0.58%"
"13/10/2020","5,969.71","6,001.38","6,008.04","5,949.97","786.88M","-0.53%"
"12/10/2020","6,001.38","6,016.65","6,037.08","5,995.11","600.96M","-0.25%"
"09/10/2020","6,016.65","5,978.03","6,040.47","5,978.03","676.78M","0.65%"
"08/10/2020","5,978.03","5,946.25","6,004.15","5,929.41","741.67M","0.53%"
"07/10/2020","5,946.25","5,949.94","5,977.15","5,929.16","761.63M","-0.06%"
"06/10/2020","5,949.94","5,942.94","5,971.48","5,903.40","911.38M","0.12%"
"05/10/2020","5,942.94","5,902.12","5,974.22","5,902.12","637.08M","0.69%"
"02/10/2020","5,902.12","5,879.45","5,902.12","5,809.61","701.24M","0.39%"
"01/10/2020","5,879.45","5,866.10","5,925.77","5,849.82","729.25M","0.23%"
"30/09/2020","5,866.10","5,897.50","5,931.37","5,854.46","831.98M","-0.53%"
"29/09/2020","5,897.50","5,927.93","5,927.93","5,862.93","677.62M","-0.51%"
"28/09/2020","5,927.93","5,842.67","5,954.42","5,842.67","915.07M","1.46%"
"25/09/2020","5,842.67","5,822.78","5,843.72","5,771.49","742.75M","0.34%"
"24/09/2020","5,822.78","5,899.26","5,899.26","5,805.28","707.13M","-1.30%"
"23/09/2020","5,899.26","5,829.46","5,974.88","5,829.46","745.61M","1.20%"
"22/09/2020","5,829.46","5,804.29","5,871.28","5,794.54","793.99M","0.43%"
"21/09/2020","5,804.29","6,007.05","6,007.05","5,779.24","989.72M","-3.38%"
"18/09/2020","6,007.05","6,049.92","6,055.24","6,006.28","1.61B","-0.71%"
"17/09/2020","6,049.92","6,078.48","6,078.48","5,998.69","614.99M","-0.47%"
"16/09/2020","6,078.48","6,105.54","6,119.24","6,057.63","712.22M","-0.44%"
"15/09/2020","6,105.54","6,026.25","6,123.69","6,026.17","682.66M","1.32%"
"14/09/2020","6,026.25","6,032.09","6,080.02","6,011.83","599.03M","-0.10%"
"11/09/2020","6,032.09","6,003.32","6,057.69","5,992.93","532.21M","0.48%"
"10/09/2020","6,003.32","6,012.84","6,028.76","5,950.62","602.95M","-0.16%"
"09/09/2020","6,012.84","5,930.30","6,031.25","5,923.43","670.41M","1.39%"
"08/09/2020","5,930.30","5,937.40","5,985.26","5,868.87","740.82M","-0.12%"
"07/09/2020","5,937.40","5,799.08","5,946.93","5,798.47","542.56M","2.39%"
"04/09/2020","5,799.08","5,850.86","5,904.16","5,778.40","672.21M","-0.88%"
"03/09/2020","5,850.86","5,940.95","5,996.24","5,838.02","698.95M","-1.52%"
"02/09/2020","5,940.95","5,862.05","5,974.70","5,862.05","670.60M","1.35%"
"01/09/2020","5,862.05","5,963.57","5,972.52","5,824.04","1.04B","-1.70%"
"28/08/2020","5,963.57","5,999.99","6,033.04","5,962.46","917.31M","-0.61%"
"27/08/2020","5,999.99","6,045.60","6,062.52","5,999.99","496.43M","-0.75%"
"26/08/2020","6,045.60","6,037.01","6,050.81","5,992.22","405.66M","0.14%"
