"Date","Price","Open","High","Low","Vol.","Change %"
"31/12/2020","12,888.28","12,877.09","12,902.07","12,821.23","987.15M","0.14%"
"30/12/2020","12,870.00","12,906.51","12,924.93","12,857.76","954.01M","0.15%"
"29/12/2020","12,850.22","12,965.39","12,973.33","12,821.96","896.81M","-0.38%"
"28/12/2020","12,899.42","12,914.64","12,930.89","12,827.45","978.34M","0.74%"
"24/12/2020","12,804.73","12,791.54","12,833.55","12,767.64","584.09M","0.26%"
"23/12/2020","12,771.11","12,834.94","12,841.92","12,758.67","1.23B","-0.29%"
"22/12/2020","12,807.92","12,785.22","12,840.57","12,695.31","1.11B","0.51%"
"21/12/2020","12,742.52","12,596.14","12,751.27","12,525.22","1.11B","-0.10%"
"18/12/2020","12,755.64","12,804.93","12,809.60","12,654.61","2.81B","-0.07%"
"17/12/2020","12,764.75","12,730.78","12,765.25","12,696.35","1.02B","0.84%"
"16/12/2020","12,658.19","12,611.04","12,687.32","12,566.38","985.82M","0.50%"
"15/12/2020","12,595.06","12,543.26","12,596.13","12,465.42","915.62M","1.25%"
"14/12/2020","12,440.04","12,447.44","12,543.00","12,432.71","983.31M","0.50%"
"11/12/2020","12,377.87","12,336.79","12,383.50","12,246.77","876.14M","-0.23%"
"10/12/2020","12,405.81","12,247.55","12,431.56","12,214.74","893.26M","0.54%"
"09/12/2020","12,338.95","12,591.68","12,607.14","12,290.78","1.07B","-1.94%"
"08/12/2020","12,582.77","12,503.17","12,594.54","12,453.21","973.77M","0.50%"
"07/12/2020","12,519.95","12,461.00","12,536.23","12,460.55","931.78M","0.45%"
"04/12/2020","12,464.23","12,399.32","12,464.23","12,376.44","1.00B","0.70%"
"03/12/2020","12,377.18","12,369.26","12,439.02","12,356.99","928.31M","0.23%"
"02/12/2020","12,349.37","12,285.75","12,360.06","12,217.35","985.81M","-0.05%"
"01/12/2020","12,355.11","12,313.36","12,405.79","12,263.93","1.28B","1.28%"
"30/11/2020","12,198.74","12,224.25","12,244.64","12,027.16","1.76B","-0.06%"
"27/11/2020","12,205.85","12,159.18","12,236.23","12,154.57","655.99M","0.92%"
"25/11/2020","12,094.40","12,053.89","12,114.77","12,020.95","899.55M","0.47%"
"24/11/2020","12,037.33","11,939.33","12,049.88","11,863.45","1.27B","1.32%"
"23/11/2020","11,880.63","11,916.76","11,949.33","11,796.53","1.05B","0.22%"
"20/11/2020","11,854.97","11,892.70","11,935.47","11,852.51","1.12B","-0.42%"
"19/11/2020","11,904.71","11,779.04","11,912.63","11,760.98","1.08B","0.87%"
"18/11/2020","11,801.60","11,896.06","11,942.49","11,799.96","963.95M","-0.82%"
"17/11/2020","11,899.34","11,913.35","11,950.18","11,852.41","849.41M","-0.21%"
"16/11/2020","11,924.13","11,847.11","11,937.72","11,814.89","935.40M","0.80%"
"13/11/2020","11,829.29","11,794.94","11,849.79","11,715.52","787.30M","1.02%"
"12/11/2020","11,709.59","11,802.50","11,847.84","11,666.37","829.44M","-0.65%"
"11/11/2020","11,786.43","11,656.65","11,793.58","11,638.90","819.26M","2.01%"
"10/11/2020","11,553.86","11,622.44","11,665.87","11,424.61","1.03B","-1.37%"
"09/11/2020","11,713.78","12,046.66","12,108.07","11,703.49","1.41B","-1.53%"
"06/11/2020","11,895.23","11,869.90","11,920.54","11,737.13","893.72M","0.04%"
"05/11/2020","11,890.93","11,816.33","11,924.28","11,784.15","828.68M","2.59%"
"04/11/2020","11,590.78","11,443.78","11,663.30","11,394.21","852.15M","3.85%"
"03/11/2020","11,160.57","11,038.66","11,213.92","11,004.84","710.54M","1.85%"
"02/11/2020","10,957.61","11,010.45","11,071.08","10,830.95","715.79M","0.42%"
"30/10/2020","10,911.59","11,103.47","11,129.81","10,822.57","873.94M","-2.45%"
"29/10/2020","11,185.59","11,064.47","11,287.63","11,030.19","733.27M","1.64%"
"28/10/2020","11,004.87","11,230.90","11,249.95","10,999.07","856.55M","-3.73%"
"27/10/2020","11,431.35","11,409.34","11,465.06","11,361.86","676.35M","0.64%"
"26/10/2020","11,358.94","11,440.64","11,545.63","11,221.06","690.96M","-1.64%"
"23/10/2020","11,548.28","11,536.00","11,548.85","11,434.86","657.56M","0.37%"
"22/10/2020","11,506.01","11,526.97","11,548.77","11,369.29","750.16M","0.19%"
"21/10/2020","11,484.69","11,530.39","11,613.79","11,476.08","753.85M","-0.28%"
"20/10/2020","11,516.49","11,531.83","11,632.89","11,471.24","714.59M","0.33%"
"19/10/2020","11,478.98","11,732.34","11,778.11","11,454.57","755.00M","-1.65%"
"16/10/2020","11,671.66","11,761.83","11,827.42","11,648.53","741.76M","-0.36%"
"15/10/2020","11,713.97","11,559.88","11,740.68","11,559.10","661.41M","-0.47%"
"14/10/2020","11,768.83","11,889.07","11,939.92","11,714.35","697.01M","-0.80%"
"13/10/2020","11,864.00","11,901.76","11,946.98","11,821.83","729.33M","-0.10%"
"12/10/2020","11,876.36","11,732.33","11,965.54","11,704.13","830.65M","2.56%"
"09/10/2020","11,580.04","11,487.60","11,581.23","11,476.66","729.77M","1.39%"
